,Item,Rating of 2,Rating of 1,Rating of 0,2564,9725,4470,7182,6080,4847,4847,6080,7182,4470,9725,2564,9459,1006,6067,1006,2037,2303,3306,4213,4444,2037,8458,4444,4213,9513,2303,4753,5132,6067,6544,7092,7405,8458,8657,9320,9459,9513,5132,7092,9320,8657,7405,3306,4753,6544,6227,1762,6001,5563,6477,5661,1961,1762,1961,5563,5661,6227,6477,,
0,Presence of Introduction,Greets and opens with ‘relationship building’,Says Hello but immediately proceeds to the issue,Does not greet and opens with the problem,1,1,0,1,1,1,1,0,1,0,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,1,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,Content of Introduction,Introduction is culturally sensitive/ appropriate,Introduction is culturally acceptable,Introduction is culturally awkward/ inappropriate,2,1,2,2,1,2,1,0,2,0,0,2,2,0,1,1,0,2,0,2,2,1,0,2,2,1,2,1,2,2,1,0,2,2,2,1,2,1,1,0,1,2,2,2,2,1,1,0,2,2,1,1,2,0,2,1,2,2,2,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
4,Acknowledgement of Hierarchy,Acknowledges the group leader’s seniority,,Does not acknowledge,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
6,Explains Problem,Clearly explains the issue.,Hints at the issue - but no direct mention,Does not address problem of slacking off,1,2,1,0,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
8,Explains impact on the group,Explains impact upon the group,Hints at effects on group,Does not address how group is affected,2,2,1,2,2,2,2,2,1,1,0,1,1,2,0,1,2,2,2,1,1,2,1,1,0,,1,2,0,1,2,2,1,1,2,2,2,0,0,2,2,1,1,0,1,2,1,2,0,1,2,0,1,2,2,1,2,0,2,,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
10,Asks for opinion/thoughts,Inquires why the group member hasn’t been meeting requirements and considers input in response,Inquires why the group member hasn’t been meeting requirements,Does not ask about reason for problem,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,INCOMPLETE,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
12,Explains Consequences,Explains impact/potential consequences of student not pulling their weight,Hints at impact/potential consequences of student not pulling their own weight,Does not acknowledge potential consequences,0,2,0,2,2,2,2,2,1,0,2,1,1,1,0,2,2,2,1,1,1,2,1,0,1,,1,2,0,0,2,0,0,1,2,1,2,,0,1,1,1,0,0,0,1,0,1,0,0,2,0,1,2,2,0,1,1,2,,
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
14,Obtains Desired Outcome,Student agrees to pull weight,Student begins to make concessions,Student is unwilling to pull more weight.,2,2,1,1,1,0,0,1,0,0,2,1,1,0,0,1,2,2,1,1,1,1,0,1,0,,1,1,1,1,1,1,2,1,1,1,2,,0,1,1,0,1,1,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,,
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
16,Conclusion/ Farewell,Farewell is culturally sensitive/ appropriate,Farewell is culturally acceptable,Farewell is culturally awkward/ inappropriate,1,2,1,1,2,1,0,0,1,0,0,0,0,0,0,1,2,2,1,1,1,2,1,1,2,,2,1,2,1,2,1,2,2,2,1,2,,1,0,1,1,1,1,1,0,1,0,2,1,1,1,1,1,1,1,2,2,2,,
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
18,,,,Total Score (out of 18),11,16,8,11,13,12,12,9,9,4,9,10,10,9,6,11,13,16,11,11,11,13,8,10,10,3,13,12,9,10,13,9,13,13,15,11,15,6,9,9,11,8,10,9,11,11,8,7,11,10,12,7,10,11,13,8,13,11,14,,
19,,,,Percentage,,,,,,,,,,,,,,0.5,0.333333333,0.611111111,0.722222222,0.888888889,0.611111111,0.611111111,0.611111111,0.722222222,0.444444444,0.555555556,0.555555556,0.166666667,0.722222222,0.666666667,0.5,0.555555556,0.722222222,0.5,0.722222222,0.722222222,0.833333333,0.611111111,0.833333333,0.333333333,0.5,0.5,0.611111111,0.444444444,0.555555556,0.5,0.611111111,0.611111111,,,,,,,,,,,,,,,
