HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
3ZCC2DXSD740Y0YMZ3W586WBZYDYYL,3MEF7FE16K84Q81U5EWPQJE5GMK9A5,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 4",$0.20 ,Sun Nov 11 09:20:53 PST 2018,32,BatchId:3431716;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 19:17:23 PST 2018,,,31UV0MXWNQCJSW7RAMB6Z50GMJEI5Q,AYSTT1A9C2DAU,Approved,Sun Nov 11 23:54:16 PST 2018,Sun Nov 11 23:58:01 PST 2018,Wed Nov 14 23:58:01 PST 2018,2018-11-15 07:58:42 UTC,,,225,100% (5/5),0% (0/0),0% (0/0),"My apologies, but I cannot currently tell you what supplies we are bringing, as it is up in the air. You will hear at the meeting.|I don't completely know yet as the supplies are currently undecided and the info will be hard to find, but if you absolutely need to know I will give thoughts.|We'll learn at the meeting.",,
3ZCC2DXSD740Y0YMZ3W586WBZYDYYL,3MEF7FE16K84Q81U5EWPQJE5GMK9A5,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 4",$0.20 ,Sun Nov 11 09:20:53 PST 2018,32,BatchId:3431716;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 19:17:23 PST 2018,,,33SA9F9TRXU1PAKPA48O4QF1EK6EWJ,ABV8IMRW648ID,Approved,Sun Nov 11 09:23:39 PST 2018,Sun Nov 11 09:26:15 PST 2018,Wed Nov 14 09:26:15 PST 2018,2018-11-14 17:26:42 UTC,,,156,100% (1/1),0% (0/0),0% (0/0),"Unfortunately, I am unable to provide you with that information at this time.|If you honestly need the information, I can tell you. But it would really put me in a compromising position.|That information is on a need to know basis.",,
3ZCC2DXSD740Y0YMZ3W586WBZYDYYL,3MEF7FE16K84Q81U5EWPQJE5GMK9A5,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 4",$0.20 ,Sun Nov 11 09:20:53 PST 2018,32,BatchId:3431716;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 19:17:23 PST 2018,,,35USIKEBNRG7P1IWCLY3WJAX4CC6N1,A1X2T19EPZDGL,Approved,Sun Nov 11 21:37:35 PST 2018,Sun Nov 11 21:38:58 PST 2018,Wed Nov 14 21:38:58 PST 2018,2018-11-15 05:39:42 UTC,,,83,100% (3/3),0% (0/0),0% (0/0),"I understand why you would wonder, but I don't think that's something you need to know.|I've been told not to share this information, but I could be persuaded to do so.|That's not something you need to know.",,
3ZCC2DXSD740Y0YMZ3W586WBZYDYYL,3MEF7FE16K84Q81U5EWPQJE5GMK9A5,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 4",$0.20 ,Sun Nov 11 09:20:53 PST 2018,32,BatchId:3431716;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 19:17:23 PST 2018,,,37WLF8U1WPQ6HVXTF86N4RTTAFGK6F,A25X5G0INDOHQZ,Approved,Sun Nov 11 10:08:48 PST 2018,Sun Nov 11 10:11:07 PST 2018,Wed Nov 14 10:11:07 PST 2018,2018-11-14 18:11:42 UTC,,,139,100% (12/12),0% (0/0),0% (0/0),"I understand you would like to know our supply situation, it would help you, but I can't give you that information now.|I'm sorry sir, I would tell you if I could but my superiors would be very upset if I gave away that information.|I'm not giving you that information.",,
3ZCC2DXSD740Y0YMZ3W586WBZYDYYL,3MEF7FE16K84Q81U5EWPQJE5GMK9A5,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 4",$0.20 ,Sun Nov 11 09:20:53 PST 2018,32,BatchId:3431716;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 19:17:23 PST 2018,,,39GXDJN2OTE71KAT7RHSQE01W968V6,A31BAWJ4CSWPWM,Approved,Sun Nov 11 15:55:29 PST 2018,Sun Nov 11 16:03:52 PST 2018,Wed Nov 14 16:03:52 PST 2018,2018-11-15 00:04:42 UTC,,,503,100% (3/3),0% (0/0),0% (0/0),"I totally understand your concerns, and I appreciate your desire to know what supplies we will be bringing, but we cannot commit it at this time. Thank you.|Thank you for expressing your eagerness to know what supplies we will be bringing, I wish it were a little bit easier to divulge that piece of information. Anyways, I will give you the information.|I'm sorry, I will not be providing you with that information at this time. Thank you.",,
3ZCC2DXSD740Y0YMZ3W586WBZYDYYL,3MEF7FE16K84Q81U5EWPQJE5GMK9A5,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 4",$0.20 ,Sun Nov 11 09:20:53 PST 2018,32,BatchId:3431716;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 19:17:23 PST 2018,,,39N5ACM9HENUA5W7Q7E7KI6UUQN9P9,A3BTK49X4ITNXJ,Approved,Sun Nov 11 09:23:53 PST 2018,Sun Nov 11 09:27:48 PST 2018,Wed Nov 14 09:27:48 PST 2018,2018-11-14 17:28:42 UTC,,,235,100% (10/10),0% (0/0),0% (0/0),"I know the personnel change has thrown you off today and you are eager to start the mission, but I will have to give you the details of the supplies at this afternoon's meeting.|I really should not give you this information, but I know you are trying to do your honorable job, so I will give you the information.|I can't give you the information now. You will get the information at this afternoon's meeting, just like everyone else.",,
3ZCC2DXSD740Y0YMZ3W586WBZYDYYL,3MEF7FE16K84Q81U5EWPQJE5GMK9A5,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 4",$0.20 ,Sun Nov 11 09:20:53 PST 2018,32,BatchId:3431716;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 19:17:23 PST 2018,,,3CP1TO84PT1FHBTPLJQECPTZXL252J,A1COU26U8QXCW9,Approved,Sun Nov 11 13:57:28 PST 2018,Sun Nov 11 13:58:50 PST 2018,Wed Nov 14 13:58:50 PST 2018,2018-11-14 21:59:42 UTC,,,82,100% (7/7),0% (0/0),0% (0/0),"I understand that this information could be helpful, but I cannot discuss it until the breif.|If this is very important and cannot wait, I can try to get the information.|No.",,
3ZCC2DXSD740Y0YMZ3W586WBZYDYYL,3MEF7FE16K84Q81U5EWPQJE5GMK9A5,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 4",$0.20 ,Sun Nov 11 09:20:53 PST 2018,32,BatchId:3431716;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 19:17:23 PST 2018,,,3DPNQGW4LLFL3T8QUGJ7XA4XDVF644,A28EHYV1PWVU6Z,Approved,Sun Nov 11 21:15:22 PST 2018,Sun Nov 11 21:17:49 PST 2018,Wed Nov 14 21:17:49 PST 2018,2018-11-15 05:18:42 UTC,,,147,100% (3/3),0% (0/0),0% (0/0),"I understand your need to learn of the supplies we will be bringing, however I cannot provide the information at this time because we will be covering this in a meeting this afternoon.|Unfortunately, this information is not ready available to me because we will be discussing it in a meeting later, however if you do require it now, I can see what I can do.|I don't have that information.",,
3ZCC2DXSD740Y0YMZ3W586WBZYDYYL,3MEF7FE16K84Q81U5EWPQJE5GMK9A5,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 4",$0.20 ,Sun Nov 11 09:20:53 PST 2018,32,BatchId:3431716;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 19:17:23 PST 2018,,,3EWIJTFFVO78HKJ4HXF3XV6XDGTE0L,A1X84CLJ7N1PLZ,Approved,Sun Nov 11 16:19:32 PST 2018,Sun Nov 11 16:21:56 PST 2018,Wed Nov 14 16:21:56 PST 2018,2018-11-15 00:22:42 UTC,,,144,100% (3/3),0% (0/0),0% (0/0),"Commander, I fully appreciate your desire to know about the supplies, however I am unable to give you that information at this time. |With all due respect, Sir, now is not the optimal time to impart that information. |I'm afraid I can't tell you that sir",,
3ZCC2DXSD740Y0YMZ3W586WBZYDYYL,3MEF7FE16K84Q81U5EWPQJE5GMK9A5,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 4",$0.20 ,Sun Nov 11 09:20:53 PST 2018,32,BatchId:3431716;OriginalHitTemplateId:920937336;,600,259200,Thu Nov 15 19:17:23 PST 2018,,,3G2UL9A02DEIMGQ9WEHE0MO74VL670,A2Z2S5JYGCCHU4,Approved,Sun Nov 11 10:46:42 PST 2018,Sun Nov 11 10:50:55 PST 2018,Wed Nov 14 10:50:55 PST 2018,2018-11-14 18:51:42 UTC,,,253,100% (2/2),0% (0/0),0% (0/0),"Sorry, I understand it's important to you, but I'm not really authorized to tell you that.|If you really need to know what we're bringing, I'll tell you, but it's going to have to wait until I clear it with the rest of the team.|Don't worry about it, we wont forget anything.",,
