HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
31S7M7DAGGQKHFST6IKG6H21FWLTLT,3F1QRTWYOOI0NS06AHDVYEN7J77LYR,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 17",$0.20 ,Sun Jan 20 07:40:57 PST 2019,30,BatchId:3505105;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:40:57 PST 2019,,,30BXRYBRP4XD9KBR05GUPTCEGTVWHA,A3RYI5HXC2MJLN,Submitted,Sun Jan 20 07:41:13 PST 2019,Sun Jan 20 07:48:26 PST 2019,Wed Jan 23 07:48:26 PST 2019,,,,433,0% (0/0),0% (0/0),0% (0/0),"Can you not do and leave, leaving would hurt the people we are helping for this mission.|So lets do this, how about you have your team pack the supplies and as people are about to leave the aid station you can also pass out some water to the people.|Please don't leave , that would be very bad for the objective we have.|I know that you do not like to do it this way but like this your team is helping with the mission.",,
31S7M7DAGGQKHFST6IKG6H21FWLTLT,3F1QRTWYOOI0NS06AHDVYEN7J77LYR,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 17",$0.20 ,Sun Jan 20 07:40:57 PST 2019,30,BatchId:3505105;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:40:57 PST 2019,,,31QTRG6Q2TD9B64FYJ6NJZZLDS6PY8,A17V85U8PXS4LJ,Submitted,Sun Jan 20 07:53:59 PST 2019,Sun Jan 20 07:55:31 PST 2019,Wed Jan 23 07:55:31 PST 2019,,,,92,0% (0/0),0% (0/0),0% (0/0),"We insist that you say because we do not want to harm what we set out to do.|What you could do is pack up your bags and hand these water bottles to those who leave the aid station.|They should stay or our goals will suffer.|I know the inconvenience, but your presence helps us in our task.",,
31S7M7DAGGQKHFST6IKG6H21FWLTLT,3F1QRTWYOOI0NS06AHDVYEN7J77LYR,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 17",$0.20 ,Sun Jan 20 07:40:57 PST 2019,30,BatchId:3505105;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:40:57 PST 2019,,,33NF62TLXJ2I5QC0ZR0CDVYY6EQJK6,A11QDNT3W7DT7K,Submitted,Sun Jan 20 07:42:19 PST 2019,Sun Jan 20 07:44:33 PST 2019,Wed Jan 23 07:44:33 PST 2019,,,,134,100% (13/13),0% (0/0),0% (0/0),"Stay; if you leave, the mission will be compromised.|Let's pack bags and distribute water at the aid station.|Please stay; without you the mission may fail.|While this is not what you'd like, it will help our mission overall.",,
31S7M7DAGGQKHFST6IKG6H21FWLTLT,3F1QRTWYOOI0NS06AHDVYEN7J77LYR,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 17",$0.20 ,Sun Jan 20 07:40:57 PST 2019,30,BatchId:3505105;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:40:57 PST 2019,,,33OOO72IVHLU0VWHJ8XIRI8ZZ79CTS,AM6TZ7QYEU6RU,Submitted,Sun Jan 20 07:51:06 PST 2019,Sun Jan 20 07:57:01 PST 2019,Wed Jan 23 07:57:01 PST 2019,,,,355,0% (0/0),0% (0/0),0% (0/0),"We really need you to stay for the mission.|Give water to those leaving the station and pack up the supply bags.|I wouldn't advise you to leave, it could jeopardize the mission.|Think of the others, do this mission for them.",,
31S7M7DAGGQKHFST6IKG6H21FWLTLT,3F1QRTWYOOI0NS06AHDVYEN7J77LYR,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 17",$0.20 ,Sun Jan 20 07:40:57 PST 2019,30,BatchId:3505105;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:40:57 PST 2019,,,354P56DE9K3N9EO63RKH1RKZWD47S5,A1U77XDX5VK70V,Submitted,Sun Jan 20 07:51:05 PST 2019,Sun Jan 20 07:52:44 PST 2019,Wed Jan 23 07:52:44 PST 2019,,,,99,0% (0/0),0% (0/0),0% (0/0),"You really need to stay, we need you for the mission.|I have a suggestion for you. Fill up the supplies bag and as people are leaving pass some water to them.|I strongly suggest you stay, the mission needs you.|I know this is not what your aim is, but it is the best thing for the mission",,
31S7M7DAGGQKHFST6IKG6H21FWLTLT,3F1QRTWYOOI0NS06AHDVYEN7J77LYR,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 17",$0.20 ,Sun Jan 20 07:40:57 PST 2019,30,BatchId:3505105;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:40:57 PST 2019,,,35L9RVQFCOI0HGMM551T75RHVDLHUX,A16QJWRA538JC,Submitted,Sun Jan 20 07:49:00 PST 2019,Sun Jan 20 07:53:57 PST 2019,Wed Jan 23 07:53:57 PST 2019,,,,297,0% (0/0),0% (0/0),0% (0/0),"I apologise you don't have to leave,it would put the mission at risk.|I have a idea. Would you mind packing the supply bags , and handing out some water . It would be helpful to the people passing the aid station.|I strongly suggest you not leave, because it would seriously ruin the mission.|You may not want to do this , but it eventually end up helping us on this mission.",,
31S7M7DAGGQKHFST6IKG6H21FWLTLT,3F1QRTWYOOI0NS06AHDVYEN7J77LYR,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 17",$0.20 ,Sun Jan 20 07:40:57 PST 2019,30,BatchId:3505105;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:40:57 PST 2019,,,3634BBTX0OUBUT0GGYOFLHRTL3LIFS,AHW7M6U24NBAI,Submitted,Sun Jan 20 07:51:43 PST 2019,Sun Jan 20 07:55:33 PST 2019,Wed Jan 23 07:55:33 PST 2019,,,,230,0% (0/0),0% (0/0),0% (0/0),"Please do not go. That would not be good for the mission.|Let's do this. You can put items in the supply bags and hand out some water as people exit the aid station.|Departing would be harmful to the mission.|I know you do not want to do this, but the mission will benefit from this.",,
31S7M7DAGGQKHFST6IKG6H21FWLTLT,3F1QRTWYOOI0NS06AHDVYEN7J77LYR,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 17",$0.20 ,Sun Jan 20 07:40:57 PST 2019,30,BatchId:3505105;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:40:57 PST 2019,,,37XITHEISW9HKGJPFJSNR37HBMCCRF,A38UN6OY97IPI4,Submitted,Sun Jan 20 07:51:00 PST 2019,Sun Jan 20 07:55:09 PST 2019,Wed Jan 23 07:55:09 PST 2019,,,,249,0% (0/0),0% (0/0),0% (0/0),"Please stay, we need your help.|Your team could pack the supply bags and pass our water to those exiting the aid station, if that works for you?|This is an important mission and we need your help to complete it.  |While I know it isn't what you'd prefer, this is how you can best make sure this mission is a success.",,
31S7M7DAGGQKHFST6IKG6H21FWLTLT,3F1QRTWYOOI0NS06AHDVYEN7J77LYR,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 17",$0.20 ,Sun Jan 20 07:40:57 PST 2019,30,BatchId:3505105;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:40:57 PST 2019,,,3BXQMRHWKZYM9UNXW2H6ZAZDCZKMUB,A9KPX8I7QZVF7,Submitted,Sun Jan 20 07:49:40 PST 2019,Sun Jan 20 07:53:13 PST 2019,Wed Jan 23 07:53:13 PST 2019,,,,213,0% (0/0),0% (0/0),0% (0/0),"Don't go, let's find a way to work together and make this mission successful.|How about this; your troops can pack the supply bags and also distribute the water as people are leaving the aid station.|I advise against leaving; it will hurt our mission.|I know that you're not happy with this decision, but it is the right one to make this mission successful.",,
31S7M7DAGGQKHFST6IKG6H21FWLTLT,3F1QRTWYOOI0NS06AHDVYEN7J77LYR,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 17",$0.20 ,Sun Jan 20 07:40:57 PST 2019,30,BatchId:3505105;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:40:57 PST 2019,,,3D8YOU6S9EKKKR259MAPAE2RMZ4U68,A2HA7TYX74724A,Submitted,Sun Jan 20 07:41:51 PST 2019,Sun Jan 20 07:50:40 PST 2019,Wed Jan 23 07:50:40 PST 2019,,,,529,0% (0/0),0% (0/0),0% (0/0),"I request you not to leave the mission halfway.|Are you fine sharing the mission goal by packing supply bags and pass out some water as people leave the aid station?|If you're going to leave halfway through the work, it would affect the goal of the mission.|I you are going to help in this way, you inturn carrying out the goals of the mission",,
31S7M7DAGGQKHFST6IKG6H21FWLTLT,3F1QRTWYOOI0NS06AHDVYEN7J77LYR,Rewrite these responses in your own words,"We give you a couple statements. We ask that you rewrite them in your own words, maintaining the same general idea and sentiment of the original statement.","rewrite, writing, response, 17",$0.20 ,Sun Jan 20 07:40:57 PST 2019,30,BatchId:3505105;OriginalHitTemplateId:920937336;,600,259200,Thu Jan 24 07:40:57 PST 2019,,,3E1QT0TDFP92FEQT8KI9BPA7YZ8I8B,A31WUK0ENC8P9G,Submitted,Sun Jan 20 07:50:32 PST 2019,Sun Jan 20 07:53:47 PST 2019,Wed Jan 23 07:53:47 PST 2019,,,,195,0% (0/0),0% (0/0),0% (0/0),"Please don't leave or you'll hurt the mission.|How about you pack the supply bags and pass out some water to people leaving the aid station?|You shouldn't leave, you'd hurt the mission.|Even if this isn't what you want to do, you will be helping the mission if you do so.",,
